lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1749_hhds_with_indig_persons,1500_1749_other_hhds,1500_1749_total_hhds,1750_1999_hhds_with_indig_persons,1750_1999_other_hhds,1750_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_3499_hhds_with_indig_persons,3000_3499_other_hhds,3000_3499_total_hhds,3500_more_hhds_with_indig_persons,3500_more_other_hhds,3500_more_total_hhds
42250,0,17,17,0,27,27,0,48,47,0,128,133,3,100,101,6,175,180,3,201,207,8,171,174,5,196,200,8,132,139,5,159,162,22,342,366,3,213,221,8,173,177,12,333,345
42600,6,101,101,5,187,189,3,339,348,7,931,937,6,899,906,13,977,993,11,1073,1087,8,1227,1239,10,1202,1219,12,907,911,12,778,788,16,1532,1558,14,981,987,18,906,926,30,2779,2809
42750,0,22,22,0,36,42,0,64,64,5,196,205,3,113,116,8,162,169,3,160,165,0,156,153,9,151,153,0,108,111,0,116,119,0,167,169,9,81,81,0,70,70,0,112,112
43080,0,10,10,0,0,4,0,22,22,0,51,51,0,29,29,0,34,36,0,32,34,0,26,27,0,38,39,0,18,18,0,23,23,0,20,16,0,22,18,0,4,4,0,16,16
43220,0,0,0,0,8,8,0,8,8,0,33,33,0,11,11,0,29,29,0,34,34,0,30,30,0,44,44,0,17,17,0,15,15,0,45,43,0,26,29,0,7,7,0,19,19
43360,0,5,5,0,15,15,0,25,23,0,74,75,4,68,70,4,91,94,0,83,90,3,75,83,4,88,87,4,47,48,4,56,55,0,70,70,0,50,50,3,38,41,0,63,71
43650,0,23,23,0,51,50,0,72,72,3,253,260,7,195,200,6,326,332,8,341,354,12,364,369,4,376,380,3,299,302,10,330,345,20,656,678,12,477,487,5,369,373,11,613,627
43710,0,12,12,0,24,23,6,43,50,0,111,111,0,72,69,0,116,114,0,151,158,0,147,147,3,176,178,5,115,122,6,135,138,7,222,225,9,137,148,5,116,123,0,194,200
43790,0,32,40,5,51,62,8,138,142,11,416,434,10,300,312,16,439,456,13,365,382,8,392,402,10,390,401,8,226,226,11,231,246,14,418,430,9,250,261,0,190,189,8,257,268
44000,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0
44060,9,280,288,33,564,597,30,1079,1110,43,2588,2630,30,1782,1814,48,2277,2322,46,2376,2426,50,2776,2828,68,2846,2913,33,2188,2217,33,2129,2161,49,4385,4435,44,2938,2981,41,2381,2426,60,4188,4246
44210,4,37,38,0,80,80,8,165,174,18,445,463,9,272,281,11,403,407,9,326,339,10,321,332,12,285,298,4,195,194,3,129,141,11,254,262,5,139,147,0,91,97,3,112,119
44340,0,150,148,6,247,254,6,384,383,7,1205,1210,8,1001,1014,11,1222,1233,11,1384,1391,11,1600,1615,12,1694,1701,13,1259,1268,14,1251,1272,25,2484,2506,23,1832,1855,18,1833,1855,47,5495,5535
44550,0,69,68,0,115,121,11,222,237,13,744,757,9,632,643,10,838,853,10,931,941,20,1015,1033,24,1037,1063,20,819,833,15,837,854,36,1839,1878,22,1204,1227,10,939,949,20,1758,1782
44620,5,66,70,11,177,185,5,367,373,17,1018,1036,22,648,666,35,891,928,38,865,905,30,851,881,37,800,835,19,624,646,26,582,609,38,1183,1218,23,618,647,13,460,471,17,620,639
44830,0,10,10,0,23,23,6,45,48,3,102,111,4,66,76,6,100,106,0,88,90,0,89,89,4,104,108,4,53,53,4,61,63,3,83,83,3,57,58,4,39,43,4,49,53
45040,0,61,59,14,119,128,12,273,288,42,808,852,20,520,536,48,757,808,54,692,744,49,714,766,43,714,757,34,452,484,26,400,420,42,723,772,31,375,400,19,209,231,26,363,391
45090,0,29,29,0,38,42,0,71,73,6,219,228,3,143,145,7,240,246,4,227,235,9,250,262,8,254,263,6,202,200,9,230,231,17,347,364,5,212,217,3,146,149,3,256,266
45120,0,12,12,0,28,34,4,47,50,8,191,196,0,99,100,3,168,172,4,175,173,0,155,155,7,153,168,4,109,111,8,91,99,3,160,159,0,90,90,0,57,59,0,113,117
45290,0,127,129,10,243,253,3,390,396,9,1025,1037,3,831,835,5,840,848,6,944,943,10,1126,1133,12,1056,1074,3,951,950,3,835,838,12,1657,1668,13,902,914,7,878,891,22,2911,2937
45340,17,317,338,57,775,830,40,1621,1655,64,4668,4737,79,3503,3587,119,5031,5147,136,5184,5326,147,5642,5784,161,5551,5716,99,4061,4165,96,3912,4012,190,7438,7626,118,4933,5047,92,3432,3527,120,5317,5441
45400,0,0,0,0,4,4,0,8,8,0,39,41,0,17,17,0,31,31,0,22,22,0,34,34,0,32,28,0,14,14,0,7,7,0,33,33,0,17,16,0,14,14,0,15,15
45540,0,9,8,0,21,24,3,46,51,3,130,135,5,50,51,13,74,82,9,64,68,8,51,52,0,43,41,4,32,36,4,21,25,0,21,26,0,14,14,4,15,14,0,15,15
45680,12,188,203,44,497,536,67,1079,1143,112,2465,2574,141,1843,1982,169,2628,2799,173,2985,3152,173,3047,3220,161,2939,3104,129,2103,2230,87,1928,2019,195,3443,3642,114,2099,2213,68,1277,1351,93,1785,1871
45890,21,323,343,55,817,878,73,1632,1704,99,3766,3864,93,2303,2399,88,3190,3277,121,3271,3391,123,3737,3863,117,3862,3984,80,3043,3126,59,2915,2974,145,5826,5976,91,3692,3789,78,2821,2898,103,4616,4717
46090,15,22,33,33,65,102,46,131,175,75,345,419,62,205,265,87,332,418,67,298,371,72,339,410,81,298,373,77,240,313,44,210,255,76,407,480,34,262,297,41,211,254,54,310,373
46300,0,27,27,11,92,106,23,175,206,33,461,495,32,297,327,35,414,448,26,429,453,31,453,489,28,414,442,18,301,323,26,269,289,33,544,579,22,325,346,8,211,221,21,368,399
46450,6,53,56,24,134,154,13,274,291,32,826,857,28,415,442,38,606,647,33,565,600,42,494,540,22,510,532,18,349,371,19,292,313,30,558,589,16,350,372,7,244,251,18,420,439
46510,0,50,50,3,98,104,5,179,184,8,384,389,4,331,336,0,341,344,15,414,429,15,576,592,7,584,590,10,445,455,5,483,487,17,999,1017,0,641,650,7,603,613,14,1804,1822
46670,0,31,35,8,64,65,7,114,123,10,296,300,10,205,218,15,348,368,16,311,331,10,283,296,15,313,323,8,220,223,12,211,223,15,357,374,7,204,212,0,128,134,0,241,238
46860,0,7,7,0,8,8,0,12,12,4,52,48,0,38,38,0,58,58,0,50,50,6,62,60,0,38,38,0,42,42,0,34,34,0,77,77,0,37,38,0,26,26,0,43,42
46970,0,4,4,0,3,3,0,0,0,0,7,7,0,4,3,0,13,13,0,10,10,0,24,20,0,50,50,6,46,50,0,58,54,19,169,185,7,84,90,11,134,146,25,417,440
47140,10,273,285,31,677,703,51,1383,1434,80,3614,3692,90,2430,2524,125,3856,3986,129,4180,4308,146,4622,4771,145,4513,4665,122,3403,3529,110,2979,3084,182,5902,6083,108,3323,3433,74,2253,2331,113,3268,3377
47290,0,6,6,0,13,15,0,16,16,0,60,60,3,29,36,0,70,77,0,56,53,5,65,71,0,81,81,0,39,39,0,54,54,4,87,93,0,39,38,0,32,32,0,48,51
47490,0,10,10,6,14,21,0,33,33,0,65,65,0,36,36,0,69,67,3,69,72,0,66,63,4,59,61,3,35,43,4,35,38,3,67,70,0,41,38,0,27,27,0,45,50
47630,0,12,12,0,36,35,3,51,49,4,140,142,0,104,107,0,187,186,0,183,180,9,206,213,7,204,207,4,169,172,0,169,171,8,272,281,5,178,174,4,112,115,0,210,210
47700,8,182,190,14,357,368,23,741,762,29,2270,2299,21,1585,1604,30,2406,2433,43,2540,2587,66,3044,3111,41,3061,3103,33,2290,2323,41,2184,2228,64,4534,4602,82,3225,3306,48,2507,2557,75,4378,4456
47800,0,15,15,9,28,40,9,76,82,12,217,226,9,112,122,7,198,204,11,193,198,11,200,214,15,188,203,4,104,108,13,102,114,5,170,178,3,85,94,3,66,64,3,95,99
47910,0,11,11,0,18,18,0,32,32,0,135,135,4,77,77,0,122,121,7,74,79,0,92,91,0,96,95,0,67,73,0,59,60,0,105,103,0,71,71,0,48,48,0,54,58
47980,0,88,88,4,181,183,3,294,300,5,758,761,8,665,681,7,718,719,10,808,814,12,1039,1051,0,967,965,6,775,783,4,785,788,17,1589,1609,5,951,963,10,906,917,19,3846,3870
48050,0,58,58,0,88,95,7,225,229,9,709,719,13,627,638,14,848,864,12,704,716,12,723,736,17,654,670,7,318,329,11,294,308,17,491,500,8,245,246,3,161,165,10,312,323
48130,0,13,18,0,57,54,3,83,86,5,253,260,9,134,141,12,245,255,12,222,230,11,216,226,4,213,216,4,127,128,10,154,162,9,254,258,3,128,135,0,78,83,3,133,139
48260,0,18,24,3,40,45,0,72,70,0,159,162,0,120,124,3,125,131,0,137,137,0,204,205,0,209,210,0,163,163,0,159,159,0,301,304,0,160,165,0,192,191,3,877,877
48340,0,43,47,5,82,85,8,159,166,9,424,432,10,267,279,8,399,410,20,374,397,8,355,363,12,377,385,9,248,263,11,255,263,10,422,438,6,241,249,4,163,169,3,295,301
48410,3,153,161,16,351,369,16,661,674,19,1671,1689,18,1247,1273,20,1452,1473,39,1514,1548,27,1870,1891,27,1883,1912,18,1440,1456,20,1406,1422,54,2763,2819,24,1904,1928,20,1505,1531,46,3180,3232
48540,11,75,79,26,220,248,44,378,424,41,823,865,35,469,501,55,638,688,45,642,688,35,623,657,44,592,637,18,444,469,16,407,424,42,766,800,25,473,501,22,415,437,24,678,698
48640,0,4,4,0,0,3,0,11,11,0,42,43,0,19,20,3,27,30,0,22,25,4,24,27,0,24,27,0,28,28,0,24,24,0,38,38,0,30,30,0,14,18,0,34,33
48750,0,28,28,0,47,45,0,72,72,0,247,254,7,161,167,3,266,269,3,221,225,0,231,232,5,197,204,0,117,122,4,134,142,9,179,186,0,115,117,0,67,67,0,119,125
48830,5,58,65,18,96,107,5,174,186,20,558,580,10,305,310,14,539,557,6,400,413,11,397,414,12,381,391,11,238,249,13,194,208,9,345,358,6,184,193,5,121,123,0,237,234
49399,7,7,8,16,17,35,12,35,48,26,78,96,11,34,45,18,53,72,21,53,76,15,60,78,11,53,67,14,50,58,8,51,60,8,72,78,4,28,34,5,28,30,11,48,56
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50080,6,122,127,13,189,205,32,370,405,40,1048,1085,34,841,876,37,1085,1133,46,993,1037,50,1118,1172,48,1079,1121,26,806,838,25,755,781,49,1476,1523,31,926,959,23,692,721,55,1177,1230
50210,5,145,147,22,318,344,21,598,624,52,1476,1528,66,1166,1225,78,1621,1702,69,1764,1831,100,2194,2296,79,2316,2390,64,1956,2023,61,1923,1985,141,3864,4003,92,2562,2653,56,2231,2288,118,3906,4026
50250,0,4,4,7,5,14,5,5,10,9,13,26,9,4,15,13,16,25,6,15,23,9,29,39,7,35,44,8,27,36,13,67,76,28,243,274,13,96,107,29,176,198,61,426,488
50280,3,45,48,3,70,79,3,119,126,6,302,313,5,262,269,0,352,352,6,350,357,4,459,462,8,456,467,11,338,346,12,328,336,8,639,649,12,399,412,4,313,319,10,551,556
50350,0,42,42,8,71,81,3,172,178,12,405,416,9,273,279,11,343,354,8,346,355,16,407,420,15,391,402,13,321,330,7,303,309,22,723,739,17,461,473,16,405,421,18,948,967
50420,4,173,182,22,339,363,16,655,669,24,1659,1684,25,1126,1142,44,1524,1565,26,1581,1604,32,1819,1848,33,1919,1949,31,1482,1517,33,1494,1530,47,3081,3123,37,1861,1901,28,1891,1921,65,4373,4438
50490,7,101,105,18,217,238,24,474,503,28,1018,1045,27,600,627,30,795,830,23,968,992,34,1175,1207,41,1268,1308,30,1074,1106,29,922,957,56,2028,2080,35,1086,1118,18,1008,1027,72,2065,2132
50560,0,7,7,0,11,14,0,19,19,0,72,72,0,38,38,3,58,64,3,54,59,0,53,53,0,51,50,0,25,27,0,26,25,0,47,53,0,31,35,0,17,17,0,46,46
50630,0,7,7,5,13,13,0,10,9,0,35,35,0,24,27,0,30,30,0,32,32,4,33,38,5,27,37,0,19,20,0,36,36,5,66,74,3,28,33,0,38,38,0,84,86
50770,0,13,13,0,16,16,0,23,23,5,45,49,0,30,30,4,43,48,0,62,62,0,38,42,0,54,58,0,30,30,0,35,37,3,63,67,0,32,32,5,23,27,0,57,58
50840,0,27,27,0,20,20,0,46,54,7,191,198,0,113,111,0,176,176,3,139,151,0,149,154,4,130,133,0,95,95,0,98,99,9,186,195,0,114,119,0,108,110,6,147,154
50910,0,4,0,0,10,11,0,8,5,3,27,29,0,10,14,5,22,23,0,19,19,0,24,32,3,16,23,0,21,21,7,21,19,0,25,25,0,14,16,0,16,9,0,29,27
50980,21,16,38,59,23,86,116,55,168,86,89,169,74,69,144,92,101,199,86,112,196,100,187,287,95,175,263,70,166,234,60,188,244,141,456,596,82,319,402,67,343,413,151,757,909
51080,0,5,5,4,9,12,0,8,10,0,24,24,6,12,16,0,22,22,4,21,29,4,33,33,0,27,30,3,7,12,0,18,16,0,34,35,0,21,23,4,21,23,0,36,36
51120,0,3,3,0,3,3,0,3,3,0,32,30,0,12,14,0,27,29,0,22,24,5,23,22,0,20,20,0,24,24,0,15,13,3,33,34,0,17,17,0,17,17,0,31,27
51190,4,76,78,23,192,215,12,426,437,30,1020,1053,42,752,787,40,990,1026,39,942,976,51,989,1039,44,931,970,50,703,746,33,729,769,60,1219,1278,24,726,751,22,654,673,45,1182,1224
51260,3,93,98,11,182,189,10,307,317,19,893,908,15,750,761,20,1080,1096,22,935,960,37,1132,1166,34,1067,1100,25,741,763,13,716,725,40,1462,1496,20,984,1003,21,772,798,33,1632,1669
51310,0,56,59,0,84,84,0,145,145,0,304,307,0,308,307,5,333,336,3,391,395,6,473,480,4,506,514,3,359,360,3,374,382,5,813,818,3,509,513,3,604,607,27,4140,4167
51330,0,248,250,21,418,432,23,683,710,36,1606,1644,29,1148,1176,37,1622,1659,35,1739,1769,47,2181,2227,40,2238,2277,19,1852,1869,29,1767,1795,51,3759,3808,36,2523,2559,24,2313,2335,74,5345,5424
51400,0,34,40,0,54,61,0,97,104,9,269,276,8,183,197,13,320,331,7,276,281,14,350,368,17,392,407,14,329,345,17,286,297,22,731,756,16,513,536,9,454,463,33,884,915
51470,0,0,0,0,0,0,0,12,12,0,20,25,0,10,10,0,15,17,0,11,11,0,17,17,0,16,19,0,15,12,0,17,19,0,14,14,0,12,12,0,8,8,0,14,14
51540,4,10,14,20,19,43,20,36,65,26,89,117,18,64,84,29,91,119,27,103,124,23,93,116,14,110,126,14,61,70,18,84,96,21,157,177,19,91,112,12,83,95,20,159,173
51610,0,3,3,0,5,5,0,3,3,0,23,24,0,15,20,3,20,19,0,25,19,0,27,27,0,28,30,4,19,23,0,22,27,6,53,56,4,46,56,4,38,34,7,68,73
51680,0,9,9,0,20,20,0,22,22,0,78,78,3,45,43,3,95,98,4,113,115,7,105,107,5,107,112,0,80,83,4,86,91,8,189,193,3,149,151,4,151,155,5,333,342
51710,0,8,8,0,3,3,0,9,9,0,16,16,0,7,7,0,7,7,0,13,13,0,24,24,0,29,29,0,31,31,0,32,32,0,54,54,0,33,33,0,40,40,5,72,76
51750,0,48,48,0,45,47,0,74,74,0,169,170,0,168,166,0,158,158,0,200,200,0,239,236,0,257,258,0,204,204,0,210,213,0,376,374,0,203,206,0,246,248,11,1394,1400
51820,7,231,240,18,462,479,28,807,832,46,1996,2041,44,1337,1378,40,1992,2031,50,2089,2136,69,2543,2610,72,2658,2732,55,2372,2424,48,2304,2347,116,5173,5286,74,3549,3628,48,3331,3379,160,7357,7509
51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,3,3,0,3,3,0,9,9,0,4,4,0,5,5,0,14,14,0,15,15,0,13,13,0,31,31
51890,0,12,13,7,56,62,7,127,139,12,342,353,3,157,162,12,276,287,16,219,232,14,234,246,15,227,244,13,156,166,13,155,166,17,284,299,7,192,201,11,170,181,10,249,260
51960,0,7,9,4,13,18,3,31,35,12,70,80,10,28,36,11,52,66,9,41,53,14,43,55,6,44,50,9,41,49,6,40,46,14,136,152,3,55,57,5,74,78,12,169,184
52030,0,6,6,0,5,5,0,18,18,4,40,38,0,25,25,0,37,35,0,42,42,0,26,28,5,26,31,5,24,24,0,12,12,0,35,39,0,18,19,0,14,14,0,29,29
52100,0,3,0,0,5,5,3,8,8,0,33,33,0,23,23,3,29,26,0,35,35,0,22,22,0,28,26,0,19,19,0,21,21,0,47,47,0,33,33,0,11,17,0,35,35
52170,0,22,22,4,29,30,0,52,52,0,74,78,0,70,70,0,82,81,0,101,97,0,117,118,0,99,104,0,87,87,0,114,114,0,236,238,0,119,119,0,166,166,7,1300,1302
52240,0,0,4,0,3,3,4,13,14,0,24,26,0,20,20,4,27,31,0,27,26,0,37,37,0,29,29,0,23,23,3,22,23,0,42,38,0,16,16,0,15,16,0,42,42
52310,0,0,0,0,7,7,0,8,8,0,43,46,0,12,11,0,22,22,0,21,24,0,27,28,0,24,24,0,19,19,0,28,28,0,25,25,0,17,17,0,17,17,0,18,18
52380,0,0,0,0,0,0,0,4,4,0,16,16,0,9,9,0,6,3,0,0,0,0,0,0,0,5,5,0,3,3,0,6,5,0,5,5,0,0,0,0,5,5,0,0,4
52450,0,3,3,0,3,3,0,10,8,0,30,32,5,21,23,4,14,21,0,28,30,3,29,31,0,34,38,0,18,18,0,38,38,0,55,55,0,30,30,0,20,20,0,34,34
52520,0,0,0,0,0,0,0,9,9,0,12,11,0,17,17,0,20,23,0,25,26,0,31,32,3,25,34,0,26,26,0,13,19,3,50,55,3,35,42,0,21,26,6,59,59
52590,0,8,10,0,21,25,0,48,51,0,94,96,0,47,50,3,99,102,5,81,82,0,75,75,7,85,86,0,59,59,0,72,69,8,103,115,5,63,62,8,61,72,6,99,105
52660,0,30,34,0,36,37,4,91,96,3,286,292,8,190,200,8,360,363,16,319,335,12,336,351,12,326,337,12,267,272,11,276,289,23,618,640,17,415,435,14,367,377,21,607,626
52730,0,22,22,3,43,49,0,73,73,4,212,217,0,145,140,0,196,194,0,196,195,3,206,208,0,166,169,0,108,106,0,112,114,4,158,161,4,130,136,0,93,95,4,173,173
52800,10,4,14,77,3,76,56,6,58,126,23,148,46,13,62,116,12,130,95,25,120,79,53,138,67,65,135,46,73,120,54,58,110,56,122,179,22,54,74,34,64,95,30,100,128
52870,0,38,38,0,24,24,0,50,52,3,180,180,4,94,101,4,182,189,3,166,169,9,173,177,5,166,172,5,96,101,3,99,99,8,201,211,7,136,147,0,115,121,9,228,234
52940,0,0,0,0,7,7,0,5,5,0,35,35,5,9,10,0,28,28,0,20,20,0,26,31,0,16,23,3,9,12,0,9,12,6,29,31,3,14,16,0,6,6,0,18,18
53010,0,0,0,0,4,4,0,8,4,0,17,13,0,9,6,0,13,13,0,19,18,0,30,30,0,12,12,3,17,13,0,15,15,0,18,18,0,12,12,0,3,3,0,15,15
53080,0,0,0,3,7,8,0,9,9,5,39,42,0,10,18,5,22,25,0,22,24,0,14,10,6,8,9,0,10,10,0,6,6,0,14,17,3,10,9,0,5,4,0,12,12
53150,0,18,21,6,25,32,0,49,49,0,125,125,0,110,114,0,124,122,0,108,105,0,146,146,4,181,185,4,124,132,0,111,117,3,261,267,0,136,144,0,186,190,4,900,904
53220,0,4,4,8,3,14,10,10,18,12,10,24,11,6,19,32,17,47,30,22,54,34,39,70,27,64,93,28,63,87,20,81,98,27,164,190,23,105,135,29,123,151,55,403,452
53290,4,39,41,5,64,74,8,117,128,6,335,341,10,218,224,16,271,288,10,270,281,20,328,355,20,327,342,17,245,256,7,264,270,24,526,552,11,307,315,23,285,304,15,500,514
53360,0,4,4,0,11,11,0,15,21,0,42,42,4,35,37,3,44,45,0,49,52,4,57,65,0,56,56,4,55,54,0,59,63,3,131,129,3,88,86,3,69,72,8,151,153
53430,4,89,95,17,223,234,20,382,400,20,807,828,5,506,516,17,626,641,21,642,659,9,743,751,21,707,724,5,581,584,12,634,646,24,1289,1315,14,716,729,11,863,881,47,2763,2808
53570,0,20,20,0,33,37,0,60,60,6,153,154,0,88,88,4,149,151,0,143,144,9,111,115,3,138,143,4,85,95,0,121,123,7,181,191,7,109,114,3,74,81,5,163,173
53640,0,0,9,0,11,10,0,3,4,3,18,27,0,18,18,3,21,25,0,25,27,0,38,41,3,38,45,0,11,14,0,19,19,0,55,53,0,24,31,0,23,23,4,48,50
53710,0,0,0,0,5,5,3,9,11,0,35,35,0,22,22,0,34,35,3,28,31,0,22,22,0,29,29,0,21,23,0,26,23,0,26,32,0,12,17,0,13,13,0,33,33
53780,15,212,226,27,453,486,39,898,933,46,2150,2197,71,1631,1703,93,2456,2547,76,2505,2577,101,3044,3150,104,3131,3231,70,2558,2628,60,2439,2497,155,4954,5108,98,3232,3330,55,2595,2649,120,4756,4879
53800,15,84,98,35,212,250,79,318,398,83,816,898,70,605,678,91,855,946,120,781,902,85,853,934,88,848,930,81,686,767,73,661,733,124,1424,1549,82,912,992,75,792,867,107,1479,1589
53920,8,0,11,39,0,42,35,5,37,61,3,59,49,10,55,63,8,67,66,10,75,64,14,78,49,21,74,27,21,50,21,28,51,36,42,74,18,17,38,5,21,26,11,24,26
53990,0,55,54,0,101,105,11,202,208,17,559,571,20,352,370,14,606,622,17,526,548,25,614,646,29,610,640,19,463,488,17,536,555,37,1149,1190,32,759,790,24,681,703,41,1269,1312
54060,0,5,5,0,20,22,5,55,54,3,112,114,4,97,103,5,107,114,9,93,101,3,83,85,6,82,88,0,57,64,3,62,64,9,110,124,0,67,67,3,59,56,3,127,122
54130,0,4,4,0,9,11,0,14,14,3,16,15,0,25,25,6,24,29,0,21,21,0,33,31,0,41,41,0,24,26,0,29,33,0,35,37,0,18,18,0,29,29,0,34,34
54170,0,344,344,9,480,491,9,882,891,19,2324,2348,20,1826,1841,20,2662,2681,21,2709,2730,43,3281,3327,47,3290,3337,31,2689,2721,27,2636,2670,88,5914,5996,62,4448,4510,66,4507,4576,147,12873,13022
54200,0,152,152,8,208,218,11,374,388,24,976,995,26,783,807,28,1103,1133,22,1086,1112,36,1403,1441,45,1396,1437,28,1070,1101,35,1060,1098,62,2336,2399,54,1640,1688,40,1449,1488,87,3360,3451
54280,6,48,50,20,74,94,32,114,140,29,300,326,24,201,228,42,261,306,37,318,353,40,406,443,33,444,480,50,471,516,36,507,542,71,1261,1329,51,745,801,47,886,934,124,2155,2283
54310,11,10,16,14,17,34,24,26,51,31,42,67,25,39,61,29,57,86,47,66,112,52,120,166,43,166,204,31,223,256,46,270,314,87,687,777,55,365,421,60,602,661,205,2170,2377
54340,3,11,16,0,12,16,3,28,32,11,82,98,9,70,77,14,112,128,13,101,117,12,94,107,6,100,106,10,83,90,6,83,87,8,139,152,8,95,105,8,52,60,6,91,94
54410,3,5,6,0,8,10,0,9,15,0,45,44,3,20,18,6,34,41,0,28,32,0,23,25,5,24,25,3,10,16,0,21,21,0,41,43,0,26,27,0,9,11,0,25,25
54480,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,8,8,0,7,11,0,16,16,0,11,11,0,6,6,0,8,14,0,23,23,0,14,14,0,13,13,0,16,16
54550,0,7,9,0,14,14,0,6,6,0,43,50,6,27,30,5,57,59,4,51,52,3,58,59,6,48,52,0,31,37,0,41,43,6,86,88,0,35,41,4,31,32,3,79,81
54620,0,4,5,3,5,13,3,3,10,5,18,24,0,8,14,0,25,26,0,20,23,0,22,22,0,23,23,4,13,15,0,9,10,0,27,29,0,14,14,0,19,19,0,25,25
